,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2022 Audi TTS - 2.0T,img.autobytel.com/2022/audi/tts/2-550-oem-exterior-front1300-97756.jpg,"60,200",2022 Audi TTS,7,288,14.5,23,31,4,Premium Unleaded,53.3,165.0,72.1,98.6
2021 Audi TTS - 2.0T,img.autobytel.com/2021/audi/tts/2-550-oem-exterior-front1300-94944.jpg,"59,500",2021 Audi TTS,7,288,14.5,23,29,4,Premium Unleaded,53.3,165.0,72.1,98.6
2020 Audi TTS - 2.0T,img.autobytel.com/2020/audi/tts/2-550-oemexteriorfront1300-92033.JPG,"54,500",2020 Audi TTS,7,288,14.5,23,29,4,Premium Unleaded,53.3,165.0,72.1,98.6
2019 Audi TTS - 2.0T,img.autobytel.com/2019/audi/tts/2-550-oemexteriorfront1300-89879.jpg,"53,800",2019 Audi TTS,7,288,14.5,23,29,4,Premium Unleaded,52.8,165.0,72.1,98.6
2018 Audi TTS - 2.0T,img.autobytel.com/2018/audi/tts/2-550-oemexteriorfront1300-83714.jpg,"52,950",2018 Audi TTS,6,292,14.5,23,27,4,Premium Unleaded,52.8,165.0,72.1,98.6
2017 Audi TTS - 2.0T,img.autobytel.com/2017/audi/tts/2-550-oemexteriorfront1300-80679.jpg,"52,500",2017 Audi TTS,,,14.5,,,,Premium Unleaded,,,,"2,504mm (98.6"
2016 Audi TTS - 2.0T,img.autobytel.com/2016/audi/tts/2-550-oemexteriorfront1300-77869.jpg,"51,900",2016 Audi TTS,,,14.5,,,,Premium Unleaded,,,,"2,504mm (98.6"
2015 Audi TTS - quattro Roadster,img.autobytel.com/2015/audi/tts/3-550-091614%202015%20audi%20tts-73205.jpg,"51,700",2015 Audi TTS,6,265,15.9,22,31,2,Premium Unleaded,53.1,165.3,72.5,97.2
2015 Audi TTS - quattro Coupe,img.autobytel.com/2015/audi/tts/3-550-091614%202015%20audi%20tts-73206.jpg,"48,700",2015 Audi TTS,6,265,15.9,22,31,4,Premium Unleaded,53.0,165.3,72.5,97.2
2014 Audi TTS - quattro Roadster,img.autobytel.com/2014/audi/tts/2-550-oemexteriorfront-71277.jpg,"51,700",2014 Audi TTS,6,265,15.9,22,31,2,Premium Unleaded,53.1,165.3,72.5,97.2
2014 Audi TTS - quattro Coupe,img.autobytel.com/2014/audi/tts/2-550-oemexteriorfront-71278.jpg,"48,700",2014 Audi TTS,6,265,15.9,22,31,4,Premium Unleaded,53.0,165.3,72.5,97.2
2013 Audi TTS - Premium Plus quattro Coupe,img.autobytel.com/2013/audi/tts/2-550-oemexteriorfront-68622.jpg,"47,350",2013 Audi TTS,6,265,15.9,23,31,4,Premium Unleaded,53.0,165.3,72.5,97.2
2012 Audi TTS - Premium Plus (S tronic) quattro Roadster,img.autobytel.com/2012/audi/tts/2-550-oemexteriorfront-66357.jpg,"50,000",2012 Audi TTS,6,265,15.9,23,31,2,Premium Unleaded,53.1,165.3,72.5,97.2
2012 Audi TTS - Premium Plus (S tronic) quattro Coupe,img.autobytel.com/2012/audi/tts/2-550-oemexteriorfront-66358.jpg,"47,000",2012 Audi TTS,6,265,15.9,23,31,4,Premium Unleaded,53.0,165.3,72.5,97.2
2011 Audi TTS - quattro Roadster,img.autobytel.com/2011/audi/tts/2-550-oemexteriorfront-63814.jpg,"50,000",2011 Audi TTS,6,265,15.9,21,29,2,Premium Unleaded,53.1,165.3,72.5,97.2
2011 Audi TTS - quattro Coupe,img.autobytel.com/2011/audi/tts/2-550-oemexteriorfront-63815.jpg,"47,000",2011 Audi TTS,6,265,15.9,21,29,4,Premium Unleaded,53.0,165.3,72.5,97.2
2010 Audi TTS - quattro Roadster,img.autobytel.com/2010/audi/tts/2-550-oemexteriorfront-61426.jpg,"48,900",2010 Audi TTS,,,15.9,,,,Premium Unleaded,,,,"2,469mm (97.2"
2010 Audi TTS - quattro Coupe,img.autobytel.com/2010/audi/tts/2-550-oemexteriorfront-61427.jpg,"45,900",2010 Audi TTS,,,15.9,,,,Premium Unleaded,,,,"2,469mm (97.2"
2009 Audi TTS - quattro Coupe,img.autobytel.com/2009/audi/tts/2-550-oemexteriorfront-51628.jpg,"45,500",2009 Audi TTS,,,15.9,,,,Premium Unleaded,,,,"2,469mm (97.2"
2009 Audi TTS - quattro Roadster,img.autobytel.com/2009/audi/tts/2-550-oemexteriorfront-51629.jpg,"47,500",2009 Audi TTS,,,15.9,,,,Premium Unleaded,,,,"2,469mm (97.2"
2016 Audi Q5 hybrid - 2.0T Prestige,img.autobytel.com/2016/audi/q5-hybrid/2-550-oemexteriorfront1300-77073.jpg,"52,500",2016 Audi Q5 hybrid,,,19.0,,,,Premium Unleaded,,,,"2,807mm (110.5"
2015 Audi Q5 hybrid - 2.0T Prestige,img.autobytel.com/2015/audi/q5-hybrid/3-550-060314%20audi%20q5%20hybrid%202015-74143.jpg,"51,900",2015 Audi Q5 hybrid,8,211,19.0,24,30,5,Premium Unleaded,65.0,182.6,74.7,110.5
2014 Audi Q5 hybrid - Base,img.autobytel.com/2014/audi/q5-hybrid/3-550-060314%20audi%20q5%20hybrid%202014-71093.jpg,"51,300",2014 Audi Q5 hybrid,8,211,19.0,24,30,5,Premium Unleaded,65.0,182.6,74.7,110.5
2013 Audi Q5 hybrid - Base,img.autobytel.com/2013/audi/q5-hybrid/2-550-oemexteriorfront-69755.jpg,"50,900",2013 Audi Q5 hybrid,8,211,19.0,24,30,5,Premium Unleaded,65.0,182.6,74.7,110.5
2021 Audi A8 e - L 60,img.autobytel.com/2021/audi/a8-e/2-550-three-quarters-view101-96439.jpg,"95,900",2021 Audi A8 e,8,335,17.2,,,5,Premium Unleaded,58.6,208.7,76.6,123.2
2020 Audi A8 e - L 60,img.autobytel.com/2020/audi/a8-e/2-550-threequartersview101-93647.JPG,"94,000",2020 Audi A8 e,8,335,17.2,,,5,Premium Unleaded,58.5,208.7,76.6,123.1
2023 Audi RS 3 - 2.5T,img.autobytel.com/2023/audi/rs-3/2-550-oem-exterior-front1300-100609.jpg,"60,900",2023 Audi RS 3,7,401,14.5,20,29,5,Premium Unleaded,55.6,178.8,72.9,103.6
2022 Audi RS 3 - 2.5T,img.autobytel.com/2022/audi/rs-3/2-550-oem-exterior-front1300-100511.jpg,"58,900",2022 Audi RS 3,7,401,14.5,20,29,5,Premium Unleaded,55.6,178.8,72.9,103.6
2020 Audi RS 3 - 2.5T,img.autobytel.com/2020/audi/rs-3/2-550-oemexteriorfront1300-93805.JPG,"56,200",2020 Audi RS 3,7,394,14.5,19,28,5,Premium Unleaded,55.0,176.3,70.7,103.6
2019 Audi RS 3 - 2.5T,img.autobytel.com/2019/audi/rs-3/2-550-oemexteriorfront1300-89673.jpg,"56,200",2019 Audi RS 3,7,394,14.5,19,28,5,Premium Unleaded,55.0,176.3,70.7,103.6
2018 Audi RS 3 - 2.5T,img.autobytel.com/2018/audi/rs-3/2-550-oemexteriorfront1300-83722.jpg,"54,900",2018 Audi RS 3,7,400,14.5,19,28,5,Premium Unleaded,55.0,176.3,70.7,103.6
2017 Audi RS 3 - 2.5T,img.autobytel.com/2017/audi/rs-3/2-550-oemexteriorfront1300-83627.jpg,"54,500",2017 Audi RS 3,,,14.5,,,,Premium Unleaded,,,,"2,631mm (103.6"
2023 Audi S7 - 2.9T Premium,img.autobytel.com/2023/audi/s7/2-550-oem-exterior-front1300-100606.jpg,"83,500",2023 Audi S7,8,444,19.3,19,26,5,Premium Unleaded,55.8,196.0,75.1,115.3
2022 Audi S7 - 2.9T Premium Plus,img.autobytel.com/2022/audi/s7/2-550-oem-exterior-front1300-97761.jpg,"84,600",2022 Audi S7,8,444,19.3,18,28,5,Premium Unleaded,55.8,196.0,75.1,115.3
