,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2023 Porsche Macan - Base,57500.0,7.0,261.0,17.1,19.0,25.0,5.0,63.8,186.1,76.1,110.5,3.0,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101844.jpg,2023 Porsche Macan,2023
2023 Porsche Macan - T,63100.0,7.0,261.0,17.1,19.0,25.0,5.0,63.8,186.1,76.1,110.5,3.0,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101845.jpg,2023 Porsche Macan,2023
2023 Porsche Macan - S,68400.0,7.0,375.0,17.1,17.0,23.0,5.0,63.8,186.1,76.1,110.5,3.0,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101846.jpg,2023 Porsche Macan,2023
2023 Porsche Macan - GTS,82900.0,7.0,434.0,17.1,17.0,22.0,5.0,62.8,186.1,76.1,110.5,3.0,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101847.jpg,2023 Porsche Macan,2023
2022 Porsche Macan - Base,54900.0,7.0,261.0,17.1,19.0,25.0,5.0,63.8,186.1,76.1,110.5,3.0,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99182.jpg,2022 Porsche Macan,2022
2022 Porsche Macan - S,65400.0,7.0,375.0,17.1,17.0,23.0,5.0,63.8,186.1,76.1,110.5,3.0,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99183.jpg,2022 Porsche Macan,2022
2022 Porsche Macan - GTS,79900.0,7.0,434.0,17.1,17.0,22.0,5.0,62.8,186.1,76.1,110.5,3.0,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99184.jpg,2022 Porsche Macan,2022
2021 Porsche Macan - Base,52100.0,7.0,248.0,19.8,19.0,23.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95694.jpg,2021 Porsche Macan,2021
2021 Porsche Macan - S,60200.0,7.0,348.0,19.8,18.0,24.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95695.jpg,2021 Porsche Macan,2021
2021 Porsche Macan - GTS,72100.0,7.0,375.0,19.8,17.0,22.0,5.0,63.0,184.5,76.2,110.5,3.0,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95696.jpg,2021 Porsche Macan,2021
2021 Porsche Macan - Turbo,84600.0,7.0,434.0,19.8,17.0,21.0,5.0,64.0,184.5,76.2,110.5,3.0,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-profile-right-facing1310-95697.jpg,2021 Porsche Macan,2021
2020 Porsche Macan - Base,50900.0,7.0,248.0,19.8,19.0,23.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93081.JPG,2020 Porsche Macan,2020
2020 Porsche Macan - S,59400.0,7.0,348.0,19.8,18.0,23.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93082.JPG,2020 Porsche Macan,2020
2020 Porsche Macan - Turbo,83600.0,7.0,434.0,19.8,17.0,22.0,5.0,64.0,184.5,76.2,110.5,3.0,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorprofilerightfacing1310-93083.JPG,2020 Porsche Macan,2020
2020 Porsche Macan - GTS,71300.0,7.0,375.0,19.8,17.0,22.0,5.0,63.0,184.5,76.2,110.5,3.0,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93744.JPG,2020 Porsche Macan,2020
2019 Porsche Macan - Base,49900.0,7.0,248.0,19.8,19.0,23.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2019/porsche/macan/2-550-oemexteriorfront1300-90227.jpg,2019 Porsche Macan,2019
2019 Porsche Macan - S,58600.0,7.0,348.0,19.8,18.0,23.0,5.0,63.9,184.9,76.2,110.5,3.0,img.autobytel.com/2019/porsche/macan/2-550-oemexteriorfront1300-90228.jpg,2019 Porsche Macan,2019
2018 Porsche Macan - Base,47800.0,7.0,252.0,19.8,20.0,25.0,5.0,63.9,184.3,76.1,110.5,3.0,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-85081.jpg,2018 Porsche Macan,2018
2018 Porsche Macan - S,55400.0,7.0,340.0,19.8,17.0,23.0,5.0,63.4,184.3,76.1,110.5,3.0,img.autobytel.com/2018/porsche/macan/2-550-threequartersview101-85082.jpg,2018 Porsche Macan,2018
2018 Porsche Macan - GTS,68900.0,7.0,360.0,19.8,17.0,23.0,5.0,63.4,185.0,76.1,110.5,3.0,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-85083.jpg,2018 Porsche Macan,2018
2018 Porsche Macan - Turbo,77200.0,7.0,400.0,19.8,17.0,23.0,5.0,63.4,185.0,76.1,110.5,3.0,img.autobytel.com/2018/porsche/macan/2-550-threequartersview101-85084.jpg,2018 Porsche Macan,2018
2018 Porsche Macan - Sport Edition,61100.0,7.0,252.0,19.8,20.0,25.0,5.0,63.9,184.3,76.1,110.5,3.0,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-88495.jpg,2018 Porsche Macan,2018
2017 Porsche Macan - S,54400.0,7.0,340.0,19.8,17.0,23.0,5.0,63.4,184.3,76.1,110.5,3.0,img.autobytel.com/2017/porsche/macan/2-550-threequartersview101-80290.jpg,2017 Porsche Macan,2017
2017 Porsche Macan - Turbo,76000.0,7.0,400.0,19.8,17.0,23.0,5.0,63.4,185.0,76.1,110.5,3.0,img.autobytel.com/2017/porsche/macan/2-550-threequartersview101-80304.jpg,2017 Porsche Macan,2017
2017 Porsche Macan - Base,47500.0,7.0,252.0,19.8,20.0,25.0,5.0,63.9,184.3,76.1,110.5,3.0,img.autobytel.com/2017/porsche/macan/2-550-oemexteriorfront1300-80340.jpg,2017 Porsche Macan,2017
2017 Porsche Macan - Turbo w/Performance Package,86445.0,7.0,440.0,19.8,17.0,23.0,5.0,63.0,185.0,76.1,110.5,3.0,img.autobytel.com/2017/porsche/macan/2-550-oemexteriorfront1300-83389.jpg,2017 Porsche Macan,2017
2016 Porsche Macan - S,52600.0,7.0,340.0,19.8,17.0,23.0,5.0,63.4,184.3,76.1,110.5,3.0,img.autobytel.com/2016/porsche/macan/2-550-threequartersview101-77574.jpg,2016 Porsche Macan,2016
2016 Porsche Macan - Turbo,73900.0,7.0,400.0,19.8,17.0,23.0,5.0,63.4,185.0,76.1,110.5,3.0,img.autobytel.com/2016/porsche/macan/2-550-threequartersview101-77575.jpg,2016 Porsche Macan,2016
2023 Porsche 911 - Turbo AWD 2dr Coupe,182900.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103104.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Turbo S AWD 2dr Coupe,216100.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103105.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Turbo AWD Cabriolet,195700.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103106.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Turbo S AWD Cabriolet,228900.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103107.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera RWD 2dr Coupe,106100.0,8.0,379.0,16.9,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103108.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera S RWD 2dr Coupe,123000.0,8.0,443.0,16.9,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103109.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera GTS RWD 2dr Coupe,142600.0,8.0,473.0,16.9,17.0,23.0,4.0,50.9,178.5,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103110.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Sport Classic RWD 2dr Coupe,272300.0,7.0,543.0,17.6,15.0,21.0,4.0,51.2,178.6,74.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103111.jpg,2023 Porsche 911,2023
2023 Porsche 911 - RWD Cabriolet,118900.0,8.0,379.0,16.9,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103112.jpg,2023 Porsche 911,2023
2023 Porsche 911 - S RWD Cabriolet,135800.0,8.0,443.0,16.9,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103113.jpg,2023 Porsche 911,2023
2023 Porsche 911 - GTS RWD Cabriolet,155400.0,8.0,473.0,16.9,17.0,23.0,4.0,50.8,178.5,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103114.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera 4 AWD 2dr Coupe,113400.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103115.jpg,2023 Porsche 911,2023
