,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2016 Porsche 911 - Targa 4 GTS (M7) AWD Coupe,img.autobytel.com/2016/porsche/911/2-550-threequartersview101-78231.jpg,"132,800",2016 Porsche 911,7,475,18.0,18,26,4,Premium Unleaded,50.8,177.5,72.9,96.5
2016 Porsche 911 - Carrera Black Edition RWD Coupe,img.autobytel.com/2016/porsche/911/2-550-oemexteriorfront1300-78776.jpg,"88,800",2016 Porsche 911,7,350,16.9,,,4,Premium Unleaded,51.3,176.8,71.2,96.5
2016 Porsche 911 - Black Edition RWD Cabriolet,img.autobytel.com/2016/porsche/911/2-550-oemexteriorview523-78777.jpg,"98,500",2016 Porsche 911,7,350,16.9,,,4,Premium Unleaded,51.3,176.8,71.2,96.5
2016 Porsche 911 - Carrera 4 Black Edition AWD Coupe,img.autobytel.com/2016/porsche/911/2-550-oemexteriorfront1300-78778.jpg,"94,800",2016 Porsche 911,7,350,18.0,,,4,Premium Unleaded,51.3,176.8,72.9,96.5
2016 Porsche 911 - Carrera 4 Black Edition AWD Cabriolet,img.autobytel.com/2016/porsche/911/2-550-oemexteriorview1301-78779.jpg,"104,600",2016 Porsche 911,7,350,18.0,,,4,Premium Unleaded,51.1,176.8,72.9,96.5
2016 Porsche 911 - GT3 (PDK) RWD Coupe,img.autobytel.com/2016/porsche/911/2-550-oemexteriorfront1300-78780.jpg,"130,400",2016 Porsche 911,7,475,16.9,15,20,2,Premium Unleaded,50.0,178.9,72.9,96.7
2016 Porsche 911 - GT3 RS (PDK) RWD Coupe,img.autobytel.com/2016/porsche/911/2-550-oemexteriorfront1300-78781.jpg,"175,900",2016 Porsche 911,7,500,16.9,14,20,2,Premium Unleaded,50.8,178.9,74.0,96.7
2016 Porsche 911 - R (6MT) RWD Coupe,img.autobytel.com/2016/porsche/911/2-550-oemexteriorfront1300-85397.jpg,"184,900",2016 Porsche 911,6,500,16.9,14,20,2,Premium Unleaded,50.2,178.4,72.9,96.7
2015 Porsche 911 - GT3 (PDK) RWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74163.jpg,"130,400",2015 Porsche 911,7,475,16.9,15,20,2,Premium Unleaded,50.0,178.9,72.9,96.7
2015 Porsche 911 - Turbo (PDK) AWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74226.jpg,"163,000",2015 Porsche 911,7,520,18.0,17,24,4,Premium Unleaded,50.9,177.4,74.0,96.5
2015 Porsche 911 - Turbo S (PDK) AWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74227.jpg,"194,600",2015 Porsche 911,7,560,18.0,17,24,4,Premium Unleaded,50.9,177.4,74.0,96.5
2015 Porsche 911 - Targa 4 (M7) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74228.jpg,"101,600",2015 Porsche 911,7,350,18.0,18,26,4,Premium Unleaded,51.1,176.8,72.9,96.5
2015 Porsche 911 - Targa 4S (M7) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74229.jpg,"116,200",2015 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,50.8,176.8,72.9,96.5
2015 Porsche 911 - Turbo (PDK) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74502.jpg,"151,100",2015 Porsche 911,7,520,18.0,17,24,4,Premium Unleaded,51.0,177.4,74.0,96.5
2015 Porsche 911 - Turbo S (PDK) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74503.jpg,"182,700",2015 Porsche 911,7,560,18.0,17,24,4,Premium Unleaded,51.0,177.4,74.0,96.5
2015 Porsche 911 - Carrera (M7) RWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74754.jpg,"84,300",2015 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2015 Porsche 911 - Carrera S (M7) RWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74755.jpg,"98,900",2015 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2015 Porsche 911 - RWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74756.jpg,"96,200",2015 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2015 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74757.jpg,"110,800",2015 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2015 Porsche 911 - Carrera 4 (M7) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74758.jpg,"91,030",2015 Porsche 911,7,350,18.0,19,27,4,Premium Unleaded,51.3,176.8,72.9,96.5
2015 Porsche 911 - Carrera 4S (M7) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74759.jpg,"105,630",2015 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,51.0,176.8,72.9,96.5
2015 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74760.jpg,"102,930",2015 Porsche 911,7,350,18.0,19,26,4,Premium Unleaded,51.1,176.8,72.9,96.5
2015 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74761.jpg,"117,530",2015 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,50.9,176.8,72.9,96.5
2015 Porsche 911 - Carrera GTS (M7) RWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77019.jpg,"114,200",2015 Porsche 911,7,430,16.9,18,26,4,Premium Unleaded,51.0,177.5,72.9,96.5
2015 Porsche 911 - GTS RWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77020.jpg,"126,100",2015 Porsche 911,7,430,16.9,18,25,4,Premium Unleaded,50.9,177.5,72.9,96.5
2015 Porsche 911 - Carrera 4 GTS (M7) AWD Coupe,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77021.jpg,"120,900",2015 Porsche 911,7,430,18.0,18,26,4,Premium Unleaded,51.0,177.5,72.9,96.5
2015 Porsche 911 - Carrera 4 GTS (M7) AWD Cabriolet,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-77022.jpg,"132,800",2015 Porsche 911,7,430,18.0,18,25,4,Premium Unleaded,50.9,177.5,72.9,96.5
2014 Porsche 911 - Carrera (M7) RWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72697.jpg,"84,300",2014 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2014 Porsche 911 - Carrera S (M7) RWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72698.jpg,"98,900",2014 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2014 Porsche 911 - RWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72699.jpg,"96,200",2014 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2014 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72700.jpg,"110,800",2014 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2014 Porsche 911 - Turbo (PDK) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72859.jpg,"148,300",2014 Porsche 911,7,520,18.0,17,24,4,Premium Unleaded,51.0,177.4,74.0,96.5
2014 Porsche 911 - Turbo S (PDK) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72860.jpg,"181,100",2014 Porsche 911,7,560,18.0,17,24,4,Premium Unleaded,51.0,177.4,74.0,96.5
2014 Porsche 911 - Carrera 4 (M7) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72861.jpg,"91,030",2014 Porsche 911,7,350,18.0,19,27,4,Premium Unleaded,51.3,176.8,72.9,96.5
2014 Porsche 911 - Carrera 4S (M7) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-threequartersview-72862.jpg,"105,630",2014 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,51.0,176.8,72.9,96.5
2014 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72863.jpg,"102,930",2014 Porsche 911,7,350,18.0,19,26,4,Premium Unleaded,51.1,176.8,72.9,96.5
2014 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72864.jpg,"117,530",2014 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,50.9,176.8,72.9,96.5
2014 Porsche 911 - GT3 (PDK) RWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72865.jpg,"130,400",2014 Porsche 911,7,475,16.9,15,20,2,Premium Unleaded,50.0,178.9,72.9,96.7
2014 Porsche 911 - 50th Anniversary Edition (M7) RWD Coupe,img.autobytel.com/2014/porsche/911/2-550-threequartersview-73196.jpg,"124,100",2014 Porsche 911,7,430,16.9,,,4,Premium Unleaded,51.0,177.5,72.9,96.5
2014 Porsche 911 - Turbo (PDK) AWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73508.jpg,"160,700",2014 Porsche 911,7,520,18.0,17,24,4,Premium Unleaded,50.9,177.4,74.0,96.5
2014 Porsche 911 - Turbo S (PDK) AWD Cabriolet,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73509.jpg,"193,900",2014 Porsche 911,7,560,18.0,17,24,4,Premium Unleaded,50.9,177.4,74.0,96.5
2014 Porsche 911 - Targa 4 (M7) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront1300-73720.jpg,"101,600",2014 Porsche 911,7,350,18.0,18,26,4,Premium Unleaded,51.1,176.8,72.9,96.5
2014 Porsche 911 - Targa 4S (M7) AWD Coupe,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73721.jpg,"116,200",2014 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,50.8,176.8,72.9,96.5
2013 Porsche 911 - Turbo (M6) AWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69355.jpg,"137,500",2013 Porsche 911,6,500,16.9,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - Turbo S (PDK) AWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69356.jpg,"160,700",2013 Porsche 911,7,530,17.7,17,25,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - Edition 918 Spyder (PDK) AWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69357.jpg,"160,700",2013 Porsche 911,7,530,17.7,17,25,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - Turbo (M6) AWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69358.jpg,"149,000",2013 Porsche 911,6,500,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - Turbo S (PDK) AWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69359.jpg,"172,100",2013 Porsche 911,7,530,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - Edition 918 Spyder (PDK) AWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69360.jpg,"172,100",2013 Porsche 911,7,530,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2013 Porsche 911 - RWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69361.jpg,"84,300",2013 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2013 Porsche 911 - S RWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69362.jpg,"98,900",2013 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2013 Porsche 911 - RWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69363.jpg,"96,200",2013 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2013 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69364.jpg,"110,800",2013 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2013 Porsche 911 - Carrera 4 (M7) AWD Coupe,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-70929.jpg,"91,030",2013 Porsche 911,7,350,18.0,19,27,4,Premium Unleaded,51.3,176.8,72.9,96.5
2013 Porsche 911 - Carrera 4S (M7) AWD Coupe,img.autobytel.com/2013/porsche/911/2-550-threequartersview101-70930.jpg,"105,630",2013 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,51.0,176.8,72.9,96.5
2013 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-70931.jpg,"102,930",2013 Porsche 911,7,350,18.0,19,26,4,Premium Unleaded,51.1,176.8,72.9,96.5
2013 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,img.autobytel.com/2013/porsche/911/2-550-threequartersview-70932.jpg,"117,530",2013 Porsche 911,7,400,18.0,18,26,4,Premium Unleaded,50.9,176.8,72.9,96.5
2012 Porsche 911 - Carrera GTS RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-66230.jpg,"103,100",2012 Porsche 911,6,408,16.9,18,25,4,Premium Unleaded,51.2,174.6,72.9,92.5
2012 Porsche 911 - Carrera GTS RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-66231.jpg,"112,900",2012 Porsche 911,,,16.9,,,,Premium Unleaded,,,,"2,350mm (92.5"
2012 Porsche 911 - Turbo (M6) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67491.jpg,"137,500",2012 Porsche 911,6,500,16.9,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2012 Porsche 911 - Turbo S (PDK) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67492.jpg,"160,700",2012 Porsche 911,7,530,17.7,17,25,4,Premium Unleaded,51.2,176.3,72.9,92.5
2012 Porsche 911 - Turbo (M6) AWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67493.jpg,"149,000",2012 Porsche 911,6,500,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2012 Porsche 911 - Turbo S (PDK) AWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67494.jpg,"172,100",2012 Porsche 911,7,530,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2012 Porsche 911 - Carrera 4S (M6) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront1300-67495.jpg,"98,300",2012 Porsche 911,6,385,17.7,18,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2012 Porsche 911 - Carrera 4S (M6) AWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67496.jpg,"109,400",2012 Porsche 911,6,385,17.7,17,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2012 Porsche 911 - Carrera (M6) RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67497.jpg,"79,000",2012 Porsche 911,6,345,16.9,18,25,4,Premium Unleaded,51.6,175.6,71.2,92.5
2012 Porsche 911 - Black Edition (M6) RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67498.jpg,"81,300",2012 Porsche 911,6,345,16.9,18,25,4,Premium Unleaded,51.6,175.6,71.2,92.5
2012 Porsche 911 - Carrera (M6) RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67499.jpg,"90,100",2012 Porsche 911,6,345,16.9,18,26,4,Premium Unleaded,51.6,175.6,71.2,92.5
2012 Porsche 911 - Black Edition (M6) RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67500.jpg,"91,300",2012 Porsche 911,6,345,16.9,18,26,4,Premium Unleaded,51.6,175.6,71.2,92.5
2012 Porsche 911 - Carrera S (M6) RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67501.jpg,"91,900",2012 Porsche 911,6,385,16.9,18,25,4,Premium Unleaded,51.2,175.6,71.2,92.5
2012 Porsche 911 - Carrera S (M6) RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67502.jpg,"103,000",2012 Porsche 911,6,385,16.9,18,26,4,Premium Unleaded,51.2,175.6,71.2,92.5
2012 Porsche 911 - Carrera 4 (M6) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67503.jpg,"85,400",2012 Porsche 911,6,345,17.7,18,24,4,Premium Unleaded,51.6,175.6,72.9,92.5
2012 Porsche 911 - Carrera 4 (M6) AWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67504.jpg,"96,500",2012 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,350mm (92.5"
2012 Porsche 911 - Targa 4 (M6) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67505.jpg,"93,500",2012 Porsche 911,6,345,17.7,18,25,4,Premium Unleaded,51.6,175.8,72.9,92.5
2012 Porsche 911 - Targa 4S (M6) AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67506.jpg,"106,400",2012 Porsche 911,6,385,17.7,17,25,4,Premium Unleaded,51.2,175.8,72.9,92.5
2012 Porsche 911 - Carrera 4 GTS AWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67507.jpg,"110,200",2012 Porsche 911,6,408,16.9,18,25,4,Premium Unleaded,51.2,174.6,72.9,92.5
2012 Porsche 911 - Carrera 4 GTS AWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67508.jpg,"120,100",2012 Porsche 911,,,16.9,,,,Premium Unleaded,,,,"2,350mm (92.5"
2012 Porsche 911 - Carrera (M7) RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68038.jpg,"82,100",2012 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2012 Porsche 911 - Carrera S (M7) RWD Coupe,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68039.jpg,"96,400",2012 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2012 Porsche 911 - Carrera (M7) RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68107.jpg,"93,700",2012 Porsche 911,7,350,16.9,19,27,4,Premium Unleaded,51.3,176.8,71.2,96.5
2012 Porsche 911 - Carrera S (M7) RWD Cabriolet,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68108.jpg,"108,000",2012 Porsche 911,7,400,16.9,19,27,4,Premium Unleaded,51.0,176.8,71.2,96.5
2011 Porsche 911 - Turbo (M6) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64886.jpg,"135,500",2011 Porsche 911,6,500,16.9,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2011 Porsche 911 - Turbo S (PDK) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64887.jpg,"160,700",2011 Porsche 911,7,530,17.7,17,25,4,Premium Unleaded,51.2,176.3,72.9,92.5
2011 Porsche 911 - Turbo (M6) AWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64888.jpg,"146,800",2011 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,350mm (92.5"
2011 Porsche 911 - Turbo S (PDK) AWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64889.jpg,"172,100",2011 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,350mm (92.5"
2011 Porsche 911 - GT3 (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64922.jpg,"115,700",2011 Porsche 911,6,435,17.7,14,21,2,Premium Unleaded,50.4,175.8,71.2,92.7
2011 Porsche 911 - GT3 RS (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64923.jpg,"135,500",2011 Porsche 911,6,450,17.7,14,21,2,Premium Unleaded,50.4,176.8,72.9,92.7
2011 Porsche 911 - Carrera 4S (M6) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65548.jpg,"96,800",2011 Porsche 911,6,385,17.7,18,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2011 Porsche 911 - Carrera (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65549.jpg,"77,800",2011 Porsche 911,6,345,16.9,18,25,4,Premium Unleaded,51.6,175.6,71.2,92.5
2011 Porsche 911 - Carrera S (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65550.jpg,"90,500",2011 Porsche 911,6,385,16.9,18,25,4,Premium Unleaded,51.2,175.6,71.2,92.5
2011 Porsche 911 - Carrera 4 (M6) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65551.jpg,"84,100",2011 Porsche 911,6,345,17.7,18,24,4,Premium Unleaded,51.6,175.6,72.9,92.5
2011 Porsche 911 - Targa 4 (M6) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65552.jpg,"92,100",2011 Porsche 911,6,345,17.7,18,25,4,Premium Unleaded,51.6,175.8,72.9,92.5
2011 Porsche 911 - Targa 4S (M6) AWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65553.jpg,"104,800",2011 Porsche 911,6,385,17.7,17,25,4,Premium Unleaded,51.2,175.8,72.9,92.5
2011 Porsche 911 - Carrera 4S (M6) AWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65634.jpg,"107,800",2011 Porsche 911,6,385,17.7,17,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2011 Porsche 911 - Carrera (M6) RWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65635.jpg,"88,800",2011 Porsche 911,6,345,16.9,18,26,4,Premium Unleaded,51.6,175.6,71.2,92.5
2011 Porsche 911 - Carrera S (M6) RWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65636.jpg,"101,500",2011 Porsche 911,6,385,16.9,18,26,4,Premium Unleaded,51.2,175.6,71.2,92.5
2011 Porsche 911 - Carrera 4 (M6) AWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65637.jpg,"95,100",2011 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,350mm (92.5"
2011 Porsche 911 - GT2 RS (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65731.jpg,"245,000",2011 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,355mm (92.7"
2011 Porsche 911 - Speedster (PDK) RWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorview1305-65732.jpg,ee Dealer,2011 Porsche 911,,,16.9,,,,Premium Unleaded,,,,"2,350mm (92.5"
2011 Porsche 911 - Carrera GTS RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-69643.jpg,"103,100",2011 Porsche 911,6,408,16.9,18,25,4,Premium Unleaded,51.2,174.6,72.9,92.5
2011 Porsche 911 - Carrera GTS RWD Cabriolet,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-69644.jpg,"112,900",2011 Porsche 911,6,408,16.9,18,26,4,Premium Unleaded,51.2,174.6,72.9,92.5
2011 Porsche 911 - GT3 RS 4.0 (M6) RWD Coupe,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront1300-70502.jpg,"185,000",2011 Porsche 911,6,500,17.7,13,19,2,Premium Unleaded,50.4,175.6,72.9,92.7
2010 Porsche 911 - Carrera 4S AWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61977.jpg,"95,100",2010 Porsche 911,6,385,17.7,18,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2010 Porsche 911 - Carrera 4S AWD Cabriolet,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61978.jpg,"106,100",2010 Porsche 911,6,385,17.7,18,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2010 Porsche 911 - Carrera RWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61979.jpg,"77,800",2010 Porsche 911,,,16.9,,,,Premium Unleaded,,,,"2,350mm (92.5"
2010 Porsche 911 - RWD Cabriolet,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61980.jpg,"88,800",2010 Porsche 911,,,16.9,,,,Premium Unleaded,,,,"2,350mm (92.5"
2010 Porsche 911 - Carrera S RWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61981.jpg,"88,800",2010 Porsche 911,6,385,16.9,18,25,4,Premium Unleaded,51.2,175.6,71.2,92.5
2010 Porsche 911 - GT3 RWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61982.jpg,"112,200",2010 Porsche 911,6,435,17.7,14,21,2,Premium Unleaded,50.4,176.4,71.2,92.7
2010 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61983.jpg,"99,800",2010 Porsche 911,6,385,16.9,18,25,4,Premium Unleaded,51.2,175.6,71.2,92.5
2010 Porsche 911 - Carrera 4 AWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61984.jpg,"84,100",2010 Porsche 911,6,345,17.7,18,25,4,Premium Unleaded,51.6,175.6,72.9,92.5
2010 Porsche 911 - Carrera 4 AWD Cabriolet,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61985.jpg,"95,100",2010 Porsche 911,6,345,17.7,18,25,4,Premium Unleaded,51.6,175.6,72.9,92.5
2010 Porsche 911 - Turbo AWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63329.jpg,"132,800",2010 Porsche 911,6,500,17.7,16,24,4,Premium Unleaded,51.2,176.3,72.9,92.5
2010 Porsche 911 - Turbo AWD Cabriolet,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63330.jpg,"143,800",2010 Porsche 911,,,17.7,,,,Premium Unleaded,,,,"2,350mm (92.5"
2010 Porsche 911 - Targa 4 AWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63331.jpg,"92,100",2010 Porsche 911,6,345,17.7,18,25,4,Premium Unleaded,51.6,175.6,72.9,92.5
2010 Porsche 911 - Targa 4S AWD Coupe,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63332.jpg,"103,100",2010 Porsche 911,6,385,17.7,17,25,4,Premium Unleaded,51.2,175.6,72.9,92.5
2010 Porsche 911 - GT3 RS RWD Coupe,img.autobytel.com/550-no-img-avail.jpg,"132,800",2010 Porsche 911,6,450,17.7,14,20,2,Premium Unleaded,50.4,176.8,72.9,92.7
