,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2023 Porsche Panamera E-Hybrid Sport Turismo - 4S,img.autobytel.com/2023/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-101825.jpg,"123,200",2023 Porsche Panamera E-Hybrid Sport Turismo,8,443,21.1,,,5,Premium Unleaded,56.2,198.8,78.2,116.1
2023 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2023/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-101826.jpg,"200,400",2023 Porsche Panamera E-Hybrid Sport Turismo,8,563,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98549.jpg,"109,000",2022 Porsche Panamera E-Hybrid Sport Turismo,8,325,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - 4S,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98550.jpg,"118,700",2022 Porsche Panamera E-Hybrid Sport Turismo,8,443,21.1,,,5,Premium Unleaded,56.2,198.8,78.2,116.1
2022 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2022/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-98551.jpg,"193,800",2022 Porsche Panamera E-Hybrid Sport Turismo,8,563,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2021 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2021/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-97028.jpg,"107,800",2021 Porsche Panamera E-Hybrid Sport Turismo,8,325,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2021 Porsche Panamera E-Hybrid Sport Turismo - 4S,img.autobytel.com/2021/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-97029.jpg,"117,300",2021 Porsche Panamera E-Hybrid Sport Turismo,8,443,21.1,,,5,Premium Unleaded,56.2,198.8,78.2,116.1
2021 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2021/porsche/panamera-e-hybrid-sport-turismo/2-550-oem-exterior-front1300-97030.jpg,"191,700",2021 Porsche Panamera E-Hybrid Sport Turismo,8,563,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2020 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2020/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-93442.JPG,"107,800",2020 Porsche Panamera E-Hybrid Sport Turismo,8,330,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2020 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2020/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-93443.JPG,"191,700",2020 Porsche Panamera E-Hybrid Sport Turismo,8,550,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2019 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2019/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-90294.jpg,"106,900",2019 Porsche Panamera E-Hybrid Sport Turismo,8,330,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2019 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2019/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-90295.jpg,"190,200",2019 Porsche Panamera E-Hybrid Sport Turismo,8,542,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2018 Porsche Panamera E-Hybrid Sport Turismo - 4,img.autobytel.com/2018/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-85080.jpg,"104,000",2018 Porsche Panamera E-Hybrid Sport Turismo,8,330,21.1,,,5,Premium Unleaded,56.2,198.8,76.3,116.1
2018 Porsche Panamera E-Hybrid Sport Turismo - Turbo S,img.autobytel.com/2018/porsche/panamera-e-hybrid-sport-turismo/2-550-threequartersview101-86407.jpg,"188,400",2018 Porsche Panamera E-Hybrid Sport Turismo,8,550,21.1,,,5,Premium Unleaded,56.4,198.8,76.3,116.1
2023 Porsche Macan - Base,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101844.jpg,"57,500",2023 Porsche Macan,7,261,17.1,19,25,5,Premium Unleaded,63.8,186.1,76.1,110.5
2023 Porsche Macan - T,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101845.jpg,"63,100",2023 Porsche Macan,7,261,17.1,19,25,5,Premium Unleaded,63.8,186.1,76.1,110.5
2023 Porsche Macan - S,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101846.jpg,"68,400",2023 Porsche Macan,7,375,17.1,17,23,5,Premium Unleaded,63.8,186.1,76.1,110.5
2023 Porsche Macan - GTS,img.autobytel.com/2023/porsche/macan/2-550-oem-exterior-front1300-101847.jpg,"82,900",2023 Porsche Macan,7,434,17.1,17,22,5,Premium Unleaded,62.8,186.1,76.1,110.5
2022 Porsche Macan - Base,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99182.jpg,"54,900",2022 Porsche Macan,7,261,17.1,19,25,5,Premium Unleaded,63.8,186.1,76.1,110.5
2022 Porsche Macan - S,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99183.jpg,"65,400",2022 Porsche Macan,7,375,17.1,17,23,5,Premium Unleaded,63.8,186.1,76.1,110.5
2022 Porsche Macan - GTS,img.autobytel.com/2022/porsche/macan/2-550-oem-exterior-front1300-99184.jpg,"79,900",2022 Porsche Macan,7,434,17.1,17,22,5,Premium Unleaded,62.8,186.1,76.1,110.5
2021 Porsche Macan - Base,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95694.jpg,"52,100",2021 Porsche Macan,7,248,19.8,19,23,5,Premium Unleaded,63.9,184.9,76.2,110.5
2021 Porsche Macan - S,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95695.jpg,"60,200",2021 Porsche Macan,7,348,19.8,18,24,5,Premium Unleaded,63.9,184.9,76.2,110.5
2021 Porsche Macan - GTS,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-front1300-95696.jpg,"72,100",2021 Porsche Macan,7,375,19.8,17,22,5,Premium Unleaded,63.0,184.5,76.2,110.5
2021 Porsche Macan - Turbo,img.autobytel.com/2021/porsche/macan/2-550-oem-exterior-profile-right-facing1310-95697.jpg,"84,600",2021 Porsche Macan,7,434,19.8,17,21,5,Premium Unleaded,64.0,184.5,76.2,110.5
2020 Porsche Macan - Base,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93081.JPG,"50,900",2020 Porsche Macan,7,248,19.8,19,23,5,Premium Unleaded,63.9,184.9,76.2,110.5
2020 Porsche Macan - S,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93082.JPG,"59,400",2020 Porsche Macan,7,348,19.8,18,23,5,Premium Unleaded,63.9,184.9,76.2,110.5
2020 Porsche Macan - Turbo,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorprofilerightfacing1310-93083.JPG,"83,600",2020 Porsche Macan,7,434,19.8,17,22,5,Premium Unleaded,64.0,184.5,76.2,110.5
2020 Porsche Macan - GTS,img.autobytel.com/2020/porsche/macan/2-550-oemexteriorfront1300-93744.JPG,"71,300",2020 Porsche Macan,7,375,19.8,17,22,5,Premium Unleaded,63.0,184.5,76.2,110.5
2019 Porsche Macan - Base,img.autobytel.com/2019/porsche/macan/2-550-oemexteriorfront1300-90227.jpg,"49,900",2019 Porsche Macan,7,248,19.8,19,23,5,Premium Unleaded,63.9,184.9,76.2,110.5
2019 Porsche Macan - S,img.autobytel.com/2019/porsche/macan/2-550-oemexteriorfront1300-90228.jpg,"58,600",2019 Porsche Macan,7,348,19.8,18,23,5,Premium Unleaded,63.9,184.9,76.2,110.5
2018 Porsche Macan - Base,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-85081.jpg,"47,800",2018 Porsche Macan,7,252,19.8,20,25,5,Premium Unleaded,63.9,184.3,76.1,110.5
2018 Porsche Macan - S,img.autobytel.com/2018/porsche/macan/2-550-threequartersview101-85082.jpg,"55,400",2018 Porsche Macan,7,340,19.8,17,23,5,Premium Unleaded,63.4,184.3,76.1,110.5
2018 Porsche Macan - GTS,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-85083.jpg,"68,900",2018 Porsche Macan,7,360,19.8,17,23,5,Premium Unleaded,63.4,185.0,76.1,110.5
2018 Porsche Macan - Turbo,img.autobytel.com/2018/porsche/macan/2-550-threequartersview101-85084.jpg,"77,200",2018 Porsche Macan,7,400,19.8,17,23,5,Premium Unleaded,63.4,185.0,76.1,110.5
2018 Porsche Macan - Turbo w/Performance Package,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-85085.jpg,"87,700",2018 Porsche Macan,7,440,19.8,,,5,Premium Unleaded,63.0,185.0,76.1,110.5
2018 Porsche Macan - Sport Edition,img.autobytel.com/2018/porsche/macan/2-550-oemexteriorfront1300-88495.jpg,"61,100",2018 Porsche Macan,7,252,19.8,20,25,5,Premium Unleaded,63.9,184.3,76.1,110.5
2017 Porsche Macan - GTS,img.autobytel.com/2017/porsche/macan/2-550-oemexteriorfront1300-80257.jpg,"67,200",2017 Porsche Macan,7,360,19.8,,,5,Premium Unleaded,63.4,185.0,76.1,110.5
2017 Porsche Macan - S,img.autobytel.com/2017/porsche/macan/2-550-threequartersview101-80290.jpg,"54,400",2017 Porsche Macan,7,340,19.8,17,23,5,Premium Unleaded,63.4,184.3,76.1,110.5
2017 Porsche Macan - Turbo,img.autobytel.com/2017/porsche/macan/2-550-threequartersview101-80304.jpg,"76,000",2017 Porsche Macan,7,400,19.8,17,23,5,Premium Unleaded,63.4,185.0,76.1,110.5
2017 Porsche Macan - Base,img.autobytel.com/2017/porsche/macan/2-550-oemexteriorfront1300-80340.jpg,"47,500",2017 Porsche Macan,7,252,19.8,20,25,5,Premium Unleaded,63.9,184.3,76.1,110.5
2017 Porsche Macan - Turbo w/Performance Package,img.autobytel.com/2017/porsche/macan/2-550-oemexteriorfront1300-83389.jpg,"86,445",2017 Porsche Macan,7,440,19.8,17,23,5,Premium Unleaded,63.0,185.0,76.1,110.5
2016 Porsche Macan - S,img.autobytel.com/2016/porsche/macan/2-550-threequartersview101-77574.jpg,"52,600",2016 Porsche Macan,7,340,19.8,17,23,5,Premium Unleaded,63.4,184.3,76.1,110.5
2016 Porsche Macan - Turbo,img.autobytel.com/2016/porsche/macan/2-550-threequartersview101-77575.jpg,"73,900",2016 Porsche Macan,7,400,19.8,17,23,5,Premium Unleaded,63.4,185.0,76.1,110.5
2015 Porsche Macan - S,img.autobytel.com/2015/porsche/macan/3-550-061014%20porsche%20macan%202015-73644.jpg,"49,900",2015 Porsche Macan,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2015 Porsche Macan - Turbo,img.autobytel.com/2015/porsche/macan/3-550-061014%20porsche%20macan%202015-73645.jpg,"72,300",2015 Porsche Macan,,,19.8,,,,Premium Unleaded,,,,"2,807mm (110.5"
2023 Porsche 911 - Turbo AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103104.jpg,"182,900",2023 Porsche 911,8,572,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2023 Porsche 911 - Turbo S AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103105.jpg,"216,100",2023 Porsche 911,8,640,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2023 Porsche 911 - Turbo AWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103106.jpg,"195,700",2023 Porsche 911,8,572,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2023 Porsche 911 - Turbo S AWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103107.jpg,"228,900",2023 Porsche 911,8,640,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2023 Porsche 911 - Carrera RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103108.jpg,"106,100",2023 Porsche 911,8,379,16.9,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Carrera S RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103109.jpg,"123,000",2023 Porsche 911,8,443,16.9,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
